thread_subject,username,page_name
 [[Special:UserLogin]] ,Vituzzu,WikidataAdministratorsnoticeboardArchive201212.json
 [[Special:UserLogin]] ,Restu20,WikidataAdministratorsnoticeboardArchive201212.json
 [[Special:UserLogin]] ,Hazard-SJ,WikidataAdministratorsnoticeboardArchive201212.json
 [[Special:UserLogin]] ,Yair rand,WikidataAdministratorsnoticeboardArchive201212.json
 [[Special:UserLogin]] ,Sotiale,WikidataAdministratorsnoticeboardArchive201212.json
 [[Special:UserLogin]] ,Bináris,WikidataAdministratorsnoticeboardArchive201212.json
 Importing a template from en.wiki ,WaitingForConnection,WikidataAdministratorsnoticeboardArchive201212.json
 Importing a template from en.wiki ,Stryn,WikidataAdministratorsnoticeboardArchive201212.json
 Collapsible list ,Happy5214,WikidataAdministratorsnoticeboardArchive201212.json
 Collapsible list ,Theopolisme,WikidataAdministratorsnoticeboardArchive201212.json
 User:93.220.120.199 ,Jeblad,WikidataAdministratorsnoticeboardArchive201212.json
 User:93.220.120.199 ,Yair rand,WikidataAdministratorsnoticeboardArchive201212.json
 Username block? ,Jasper Deng,WikidataAdministratorsnoticeboardArchive201301.json
 Username block? ,Sotiale,WikidataAdministratorsnoticeboardArchive201301.json
 Username block? ,Stryn,WikidataAdministratorsnoticeboardArchive201301.json
 Username block? ,Restu20,WikidataAdministratorsnoticeboardArchive201301.json
 Username block? ,Theopolisme,WikidataAdministratorsnoticeboardArchive201301.json
 Username block? ,Conny,WikidataAdministratorsnoticeboardArchive201301.json
 Username block? ,WaitingForConnection,WikidataAdministratorsnoticeboardArchive201301.json
 Username block? ,Rsrikanth05,WikidataAdministratorsnoticeboardArchive201301.json
 Username block? ,Lavallen,WikidataAdministratorsnoticeboardArchive201301.json
 Blocking accounts with no local edits ,Ajraddatz,WikidataAdministratorsnoticeboardArchive201301.json
 Blocking accounts with no local edits ,Theopolisme,WikidataAdministratorsnoticeboardArchive201301.json
 Blocking accounts with no local edits ,Rschen7754,WikidataAdministratorsnoticeboardArchive201301.json
 Blocking accounts with no local edits ,Lukas²³,WikidataAdministratorsnoticeboardArchive201301.json
 Blocking accounts with no local edits ,Arkanosis,WikidataAdministratorsnoticeboardArchive201301.json
 Blocking accounts with no local edits ,Lavallen,WikidataAdministratorsnoticeboardArchive201301.json
 Blocking accounts with no local edits ,Jasper Deng,WikidataAdministratorsnoticeboardArchive201301.json
 Schedule of Administrator Confirmations ,Techman224,WikidataAdministratorsnoticeboardArchive201301.json
 User:Flinga@svwiki ,Lavallen,WikidataAdministratorsnoticeboardArchive201301.json
 User:Flinga@svwiki ,Arkanosis,WikidataAdministratorsnoticeboardArchive201301.json
 User:Flinga@svwiki ,Hazard-SJ,WikidataAdministratorsnoticeboardArchive201301.json
 Soft misspelling redirects ,Iste Praetor,WikidataAdministratorsnoticeboardArchive201301.json
 Soft misspelling redirects ,Stryn,WikidataAdministratorsnoticeboardArchive201301.json
 Soft misspelling redirects ,Jasper Deng,WikidataAdministratorsnoticeboardArchive201301.json
 Soft misspelling redirects ,Giftzwerg 88,WikidataAdministratorsnoticeboardArchive201301.json
 Soft misspelling redirects ,Lavallen,WikidataAdministratorsnoticeboardArchive201301.json
 Copyright editprotected request ,Philosopher,WikidataAdministratorsnoticeboardArchive201301.json
 Copyright editprotected request ,Conny,WikidataAdministratorsnoticeboardArchive201301.json
 Import a page ,Beta16,WikidataAdministratorsnoticeboardArchive201302.json
 Import a page ,Arkanosis,WikidataAdministratorsnoticeboardArchive201302.json
 Import a page ,Vituzzu,WikidataAdministratorsnoticeboardArchive201302.json
 Adding autopatroller flags ,PinkAmpersand,WikidataAdministratorsnoticeboardArchive201302.json
 Duplicate blocks bug ,Jasper Deng,WikidataAdministratorsnoticeboardArchive201302.json
 Copyright editprotected request 2 ,Philosopher,WikidataAdministratorsnoticeboardArchive201302.json
 Copyright editprotected request 2 ,Lukas²³,WikidataAdministratorsnoticeboardArchive201302.json
 Copyright editprotected request 2 ,PinkAmpersand,WikidataAdministratorsnoticeboardArchive201302.json
 Copyright editprotected request 2 ,Riley Huntley,WikidataAdministratorsnoticeboardArchive201302.json
 [[Help talk:Aliases#Help:Alternativnamen]] ,Sk!d,WikidataAdministratorsnoticeboardArchive201302.json
 [[Help talk:Aliases#Help:Alternativnamen]] ,Hazard-SJ,WikidataAdministratorsnoticeboardArchive201302.json
 [[Help talk:Aliases#Help:Alternativnamen]] ,Stryn,WikidataAdministratorsnoticeboardArchive201302.json
 Error while editing ,Csigabi,WikidataAdministratorsnoticeboardArchive201302.json
 Error while editing ,Hazard-SJ,WikidataAdministratorsnoticeboardArchive201302.json
