thread_subject,username,page_name
 November 2012 ,Stryn,WikidataInterwikiconflictsArchive201211.json
 November 2012 ,Zanka,WikidataInterwikiconflictsArchive201211.json
 November 2012 ,ValterVB,WikidataInterwikiconflictsArchive201211.json
 November 2012 ,Infovarius,WikidataInterwikiconflictsArchive201211.json
 November 2012 ,Zolo,WikidataInterwikiconflictsArchive201211.json
 November 2012 ,Justincheng12345,WikidataInterwikiconflictsArchive201211.json
 November 2012 ,Bene*,WikidataInterwikiconflictsArchive201211.json
 November 2012 ,Ajraddatz,WikidataInterwikiconflictsArchive201211.json
 November 2012 ,JAn Dudík,WikidataInterwikiconflictsArchive201211.json
 November 2012 ,Sumone10154,WikidataInterwikiconflictsArchive201211.json
 November 2012 ,Kolja21,WikidataInterwikiconflictsArchive201211.json
 November 2012 ,Morten Haan,WikidataInterwikiconflictsArchive201211.json
 November 2012 ,RanZag,WikidataInterwikiconflictsArchive201211.json
 November 2012 ,Snaevar,WikidataInterwikiconflictsArchive201211.json
 November 2012 ,89.164.161.57,WikidataInterwikiconflictsArchive201211.json
 November 2012 ,Restu20,WikidataInterwikiconflictsArchive201211.json
Q8882 vs Q141779,ValterVB,WikidataInterwikiconflictsArchive201211.json
Q8882 vs Q141779,Kolja21,WikidataInterwikiconflictsArchive201211.json
[[Q23104]] vs [[Q204]] vs [[Q199453]] vs [[Q340734]],Sk!d,WikidataInterwikiconflictsArchive201211.json
[[Q23104]] vs [[Q204]] vs [[Q199453]] vs [[Q340734]],Kolja21,WikidataInterwikiconflictsArchive201211.json
 [[Q734430]] vs [[N/A]] ,PiRSquared17,WikidataInterwikiconflictsArchive201212.json
 [[Q734430]] vs [[N/A]] ,Zolo,WikidataInterwikiconflictsArchive201212.json
 [[[[Q172537|ا]]]] vs [[:en:Aleph]] ,Iwan Novirion,WikidataInterwikiconflictsArchive201212.json
 [[[[Q172537|ا]]]] vs [[:en:Aleph]] ,WaitingForConnection,WikidataInterwikiconflictsArchive201212.json
 [[[[Q172537|ا]]]] vs [[:en:Aleph]] ,Kolja21,WikidataInterwikiconflictsArchive201212.json
The Magic School Bus (show v books),Restu20,WikidataInterwikiconflictsArchive201212.json
The Magic School Bus (show v books),Nouill,WikidataInterwikiconflictsArchive201212.json
The Magic School Bus (show v books),Sk!d,WikidataInterwikiconflictsArchive201212.json
Artés and Artois,Peter in s,WikidataInterwikiconflictsArchive201212.json
Artés and Artois,Zolo,WikidataInterwikiconflictsArchive201212.json
Artés and Artois,Nouill,WikidataInterwikiconflictsArchive201212.json
Artés and Artois,Sk!d,WikidataInterwikiconflictsArchive201212.json
 [[Q123578]] vs [[Q419235]] ,Stryn,WikidataInterwikiconflictsArchive201212.json
 [[Q123578]] vs [[Q419235]] ,WaitingForConnection,WikidataInterwikiconflictsArchive201212.json
 Warcraft ,Make,WikidataInterwikiconflictsArchive201212.json
 Warcraft ,Sk!d,WikidataInterwikiconflictsArchive201212.json
 [[Q444353]] vs [[Q444706]] ,Chris857,WikidataInterwikiconflictsArchive201301.json
 [[Q444353]] vs [[Q444706]] ,Kolja21,WikidataInterwikiconflictsArchive201301.json
 Blanc-Mesnil vs Le Blanc-Mesnil ,Bene*,WikidataInterwikiconflictsArchive201301.json
 {{Q839647}}/{{Q2836829}} ,Naddy,WikidataInterwikiconflictsArchive201301.json
 de:Kernspeicher ,Bene*,WikidataInterwikiconflictsArchive201301.json
 de:Kernspeicher ,Naddy,WikidataInterwikiconflictsArchive201301.json
 de:Kernspeicher ,Kolja21,WikidataInterwikiconflictsArchive201301.json
 Louis (Disambig) vs. Louis (name) ,Sk!d,WikidataInterwikiconflictsArchive201301.json
Sigtuna,Mange01,WikidataInterwikiconflictsArchive201301.json
Relapse vs Relapse,Stryn,WikidataInterwikiconflictsArchive201301.json
Relapse vs Relapse,Make,WikidataInterwikiconflictsArchive201301.json
 Selenide ,Chris857,WikidataInterwikiconflictsArchive201301.json
Com(e/ing) home ,Jitrixis,WikidataInterwikiconflictsArchive201301.json
 Apple ,Enoirdi,WikidataInterwikiconflictsArchive201301.json
 Apple ,Stryn,WikidataInterwikiconflictsArchive201301.json
 Sindal (town) vs Sindal (municipality) ,Wylve,WikidataInterwikiconflictsArchive201301.json
 Sindal (town) vs Sindal (municipality) ,Carsrac,WikidataInterwikiconflictsArchive201301.json
 Sindal (town) vs Sindal (municipality) ,Akkakk,WikidataInterwikiconflictsArchive201301.json
 Sindal (town) vs Sindal (municipality) ,QZanden,WikidataInterwikiconflictsArchive201301.json
 February 2013 ,Stryn,WikidataInterwikiconflictsArchive201302.json
 February 2013 ,Ajraddatz,WikidataInterwikiconflictsArchive201302.json
 February 2013 ,Kolja21,WikidataInterwikiconflictsArchive201302.json
 February 2013 ,Leyo,WikidataInterwikiconflictsArchive201302.json
 February 2013 ,Rayx,WikidataInterwikiconflictsArchive201302.json
Mariquita/Ladybird,Carsrac,WikidataInterwikiconflictsArchive201302.json
Mariquita/Ladybird,Stryn,WikidataInterwikiconflictsArchive201302.json
Q3319902/Q3109010,Carsrac,WikidataInterwikiconflictsArchive201302.json
Q3319902/Q3109010,Stryn,WikidataInterwikiconflictsArchive201302.json
Akkalkot (city)/Akkalkot (state),Carsrac,WikidataInterwikiconflictsArchive201302.json
Akkalkot (city)/Akkalkot (state),PinkAmpersand,WikidataInterwikiconflictsArchive201302.json
Akkalkot (city)/Akkalkot (state),Nouill,WikidataInterwikiconflictsArchive201302.json
 Submarine cables ,Stryn,WikidataInterwikiconflictsArchive201302.json
 Submarine cables ,Espeso,WikidataInterwikiconflictsArchive201302.json
 Q2625056 / Q3809845 ,Dr Zimbu,WikidataInterwikiconflictsArchive201302.json
 Q2625056 / Q3809845 ,ValterVB,WikidataInterwikiconflictsArchive201302.json
 Q329397/Q3120398 ,Legoktm,WikidataInterwikiconflictsArchive201302.json
 Q329397/Q3120398 ,Hazard-SJ,WikidataInterwikiconflictsArchive201302.json
 Q633416/Q3299379 ,Aude,WikidataInterwikiconflictsArchive201302.json
 Q633416/Q3299379 ,Nouill,WikidataInterwikiconflictsArchive201302.json
 Gronda di Genova or Passante di Genova ,Dcosta,WikidataInterwikiconflictsArchive201302.json
 Gronda di Genova or Passante di Genova ,Espeso,WikidataInterwikiconflictsArchive201302.json
 József Kiss (engineer) ,Bgwhite,WikidataInterwikiconflictsArchive201302.json
 Q2032438/Q901180 ,Izno,WikidataInterwikiconflictsArchive201302.json
 Q3664355/Q3208042 ,Bzh-99,WikidataInterwikiconflictsArchive201302.json
 Q3664355/Q3208042 ,Arkanosis,WikidataInterwikiconflictsArchive201302.json
Q3221859/Q3797778,Vatekor,WikidataInterwikiconflictsArchive201302.json
Q3221859/Q3797778,Arkanosis,WikidataInterwikiconflictsArchive201302.json
 Q3892296/Q4629936 (2013 Tirreno-Adriatico) ,FakirNL,WikidataInterwikiconflictsArchive201302.json
 Q3213957/Q3547160 ,Vatekor,WikidataInterwikiconflictsArchive201302.json
 Q3591505/Q3733031 ,Vatekor,WikidataInterwikiconflictsArchive201302.json
 Q3937440/Q3225899 ,Vatekor,WikidataInterwikiconflictsArchive201302.json
 Q3937440/Q3225899 ,Ricordisamoa,WikidataInterwikiconflictsArchive201302.json
 Q27878/Q3504074 ,Noq,WikidataInterwikiconflictsArchive201302.json
 Q27878/Q3504074 ,Ricordisamoa,WikidataInterwikiconflictsArchive201302.json
 List of Nobel laureates ,Bene*,WikidataInterwikiconflictsArchive201302.json
 List of Nobel laureates ,Ypnypn,WikidataInterwikiconflictsArchive201302.json
 Odol ,Lx 121,WikidataInterwikiconflictsArchive201302.json
 Q2727213/Q53706 ,Izno,WikidataInterwikiconflictsArchive201302.json
 Q2727213/Q53706 ,Enoirdi,WikidataInterwikiconflictsArchive201302.json
 Q2727213/Q53706 ,Danrok,WikidataInterwikiconflictsArchive201302.json
