thread_subject,username,page_name
 subcategories ,Marek Mazurkiewicz,CategorytalkBabelUsersbylanguage.json
 region tags in CAPs ,ShiehJ,CategorytalkBabelUsersbylanguage.json
OS,Sven Manguard,CategorytalkCharts.json
 [[:Category:User pages with script errors]] ,Jarekt,CategorytalkPageswithscripterrors.json
 The terms ,ديفيد عادل وهبة خليل 2,CategorytalkPropertiesreadyforcreation.json
 The terms ,ArthurPSmith,CategorytalkPropertiesreadyforcreation.json
 Work to do ,Thierry Caro,CategorytalkPropertiesreadyforcreation.json
 Work to do ,ArthurPSmith,CategorytalkPropertiesreadyforcreation.json
 Work to do ,Jura1,CategorytalkPropertiesreadyforcreation.json
 Work to do ,Alexmar983,CategorytalkPropertiesreadyforcreation.json
 Work to do ,DannyS712,CategorytalkPropertiesreadyforcreation.json
No subject,Eugrus,CategorytalkPropertieswithwikibaselexemedatatype.json
No subject,UWashPrincipalCataloger,CategorytalkPropertybycountrynavigationtemplates.json
 archive groupings ,Arlo Barnes,CategorytalkRequestaqueryarchive.json
 Moved talk page content ,Bthfan,CategorytalkSportsWikiProjects.json
No subject,KlaasZ4usV,CategorytalkWikidataFlashmobrequested.json
About this page,Bluerasberry,CategorytalkWikidatafrontends.json
No subject,Nemo_bis,CategorytalkWikidatapagesbylanguage.json
Precedent,Bluerasberry,CategorytalkWikidatapartnerships.json
 Accept unknown value for birthplace ,So9q,EntitySchematalkE10.json
 Accept unknown value for birthplace ,Arlo Barnes,EntitySchematalkE10.json
No subject,NMaia,EntitySchematalkE125.json
 What should be the rules for Instance Of for a Nobel Prize Winner? ,Thadguidry,EntitySchematalkE126.json
 What should be the rules for Instance Of for a Nobel Prize Winner? ,Salgo60,EntitySchematalkE126.json
No subject,Pdehaye,EntitySchematalkE130.json
 Error: START node is not specified ,So9q,EntitySchematalkE173.json
 Specification of Entity Schema E173 ,TiagoLubiana,EntitySchematalkE188.json
 Map & location ,Susannaanas,EntitySchematalkE188.json
  I would like to include ,Susannaanas,EntitySchematalkE191.json
  I would like to include ,Jsamwrites,EntitySchematalkE191.json
 Query missing ,So9q,EntitySchematalkE203.json
 Query missing ,Popperipopp,EntitySchematalkE203.json
 Add copyright status? ,Ainali,EntitySchematalkE205.json
 Add copyright status? ,Jane023,EntitySchematalkE205.json
No subject,Nortix08,EntitySchematalkE206.json
No subject,CamelCaseNick,EntitySchematalkE206.json
 P669 - located on street ,Nortix08,EntitySchematalkE206.json
 P669 - located on street ,CamelCaseNick,EntitySchematalkE206.json
 Error while checking an object ,Nortix08,EntitySchematalkE206.json
 Error while checking an object ,CamelCaseNick,EntitySchematalkE206.json
 add requirement for {{P|136}} {{Q|557141}}? ,Spinster,EntitySchematalkE216.json
 Todo items ,Belteshassar,EntitySchematalkE229.json
"  wdt:P576  dissolved, abolished or demolished date  ",Salgo60,EntitySchematalkE283.json
 Data Model ,Simon.letort,EntitySchematalkE296.json
 Schema proposal ,Simon.letort,EntitySchematalkE296.json
 Data Model ,Simon.letort,EntitySchematalkE297.json
 Schema proposal ,Simon.letort,EntitySchematalkE297.json
 Proposed Schema from [[User:Teester|Teester]] ,Teester,EntitySchematalkE297.json
 Proposed Schema from [[User:Teester|Teester]] ,Simon.letort,EntitySchematalkE297.json
 {{P|2048}} ,Teester,EntitySchematalkE297.json
 [https://biss.pensoft.net/article/73806/ Linking Data and Descriptions on Moths Using the Wikimedia Ecosystem] ,Succu,EntitySchematalkE321.json
No subject,Sannita,EntitySchematalkE48.json
No subject,MisterSynergy,EntitySchematalkE48.json
 Merge with other Cellosaurus ShEx ,TiagoLubiana,EntitySchematalkE60.json
 Error in this Schema? ,VIGNERON,EntitySchematalkE81.json
 Review of Schema ,Thadguidry,EntitySchematalkE98.json
 Bigger version ,Tobias1984,FiletalkADreaminThreeColorspng.json
 I must be crazy... ,Akkakk,FiletalkWikidataadminanthemogg.json
 I must be crazy... ,FrigidNinja,FiletalkWikidataadminanthemogg.json
 I must be crazy... ,Delusion23,FiletalkWikidataadminanthemogg.json
 I must be crazy... ,분당선M,FiletalkWikidataadminanthemogg.json
 I must be crazy... ,Sotiale,FiletalkWikidataadminanthemogg.json
 I must be crazy... ,Rschen7754,FiletalkWikidataadminanthemogg.json
 I must be crazy... ,Addshore,FiletalkWikidataadminanthemogg.json
 Number of items ,Gloumouth1,FiletalkWikidataitemcreationprogresspng.json
 Number of items ,Sk!d,FiletalkWikidataitemcreationprogresspng.json
 protected page ,Jarekt,FiletalkWikidatalogowhitesvg.json
No subject,Polimorph,HelptalkAboutdatade.json
 Hauteur des montagnes ,Berdea,HelptalkAboutdatafr.json
" Traduzione ""Strutturare i dati"" confusa ",Patafisik,HelptalkAboutdatait.json
 Übersetzung vs eigene Seite ,Sk!d,HelptalkAliasesde.json
 Übersetzung vs eigene Seite ,Kolja21,HelptalkAliasesde.json
 Übersetzung vs eigene Seite ,Giftzwerg 88,HelptalkAliasesde.json
 Einleitung ,Conny,HelptalkAliasesde.json
 Einleitung ,Kolja21,HelptalkAliasesde.json
 Verschieben ,Kolja21,HelptalkAliasesde.json
 Verschieben ,Sk!d,HelptalkAliasesde.json
No subject,Esceptic0,HelptalkAliaseses.json
No subject,Omid.koli,HelptalkAliasesfa.json
 Femminile ,Larry Yuma,HelptalkAliasesit.json
 Femminile ,Beta16,HelptalkAliasesit.json
 Ufficializziamo? ,Beta16,HelptalkAliasesit.json
Text in brackets,Yair rand,HelptalkAliases.json
 Inverted name for people ,Kolja21,HelptalkAliases.json
 Inverted name for people ,Sven Manguard,HelptalkAliases.json
 Phonetic transcription ,Giftzwerg 88,HelptalkAliases.json
 Phonetic transcription ,Kolja21,HelptalkAliases.json
 Typographic variants for non-letter characters ,Make,HelptalkAliases.json
 Typographic variants for non-letter characters ,Kolja21,HelptalkAliases.json
 Unicode and accents ,CristianCantoro,HelptalkAliases.json
 Unicode and accents ,Sk!d,HelptalkAliases.json
 Non-article items ,CristianCantoro,HelptalkAliases.json
 [[Help:Alternativnamen]] ,Sk!d,HelptalkAliases.json
 Uniqueness ,Yurik,HelptalkAliases.json
 Delete translation tool from this page ,Stryn,HelptalkAliases.json
 Delete translation tool from this page ,Kolja21,HelptalkAliases.json
 Delete translation tool from this page ,John Erling Blad (WMDE),HelptalkAliases.json
 Delete translation tool from this page ,Beta16,HelptalkAliases.json
 Delete translation tool from this page ,Sarilho1,HelptalkAliases.json
 Delete translation tool from this page ,Giftzwerg 88,HelptalkAliases.json
 Delete translation tool from this page ,Jeblad,HelptalkAliases.json
 Delete translation tool from this page ,Sk!d,HelptalkAliases.json
" (en) add ""location, state"" to alias? ",Docu,HelptalkAliases.json
" (en) add ""location, state"" to alias? ",Closeapple,HelptalkAliases.json
 Translate extension ,Fryed-peach,HelptalkAliases.json
 Translate extension ,Stryn,HelptalkAliases.json
 Translate extension ,Giftzwerg 88,HelptalkAliases.json
 Other languages as alias? ,Qllach,HelptalkAliases.json
 Other languages as alias? ,Docu,HelptalkAliases.json
 Other languages as alias? ,Susan.nls,HelptalkAliases.json
 What to add and what not? ,Ziko,HelptalkAliases.json
 Updates as part of documentation overhaul ,Thepwnco,HelptalkAliases.json
 Updates as part of documentation overhaul ,Random knowledge donator,HelptalkAliases.json
 Using alias as label? ,Random knowledge donator,HelptalkAliases.json
 What to do with plurals? ,He7d3r,HelptalkAliases.json
 What to do with plurals? ,Jura1,HelptalkAliases.json
 What to do with plurals? ,Emain Macha,HelptalkAliases.json
