thread_subject,username,page_name
 A way to mark pages for administrative tasks ,"This, that and the other",WikidataProjectchatArchive201210.json
 A way to mark pages for administrative tasks ,Hydriz,WikidataProjectchatArchive201210.json
 A way to mark pages for administrative tasks ,Ltrlg,WikidataProjectchatArchive201210.json
 A way to mark pages for administrative tasks ,Stryn,WikidataProjectchatArchive201210.json
 A way to mark pages for administrative tasks ,Denny Vrandečić (WMDE),WikidataProjectchatArchive201210.json
 A way to mark pages for administrative tasks ,Guerillero,WikidataProjectchatArchive201210.json
 Automation ,Kelson,WikidataProjectchatArchive201210.json
 Automation ,Denny Vrandečić (WMDE),WikidataProjectchatArchive201210.json
 Label name ,Stryn,WikidataProjectchatArchive201210.json
 Label name ,Lydia Pintscher (WMDE),WikidataProjectchatArchive201210.json
 Slurp all interwikis ,Emijrp,WikidataProjectchatArchive201210.json
 Slurp all interwikis ,Superzerocool,WikidataProjectchatArchive201210.json
 Slurp all interwikis ,Jeblad,WikidataProjectchatArchive201210.json
 Slurp all interwikis ,Tpt,WikidataProjectchatArchive201210.json
" Two questions: Deleting a dataset, and ""other projects""",Soulkeeper,WikidataProjectchatArchive201210.json
" Two questions: Deleting a dataset, and ""other projects""",Lydia Pintscher (WMDE),WikidataProjectchatArchive201210.json
 Good and featured articles ,Stryn,WikidataProjectchatArchive201210.json
 Good and featured articles ,Lydia Pintscher (WMDE),WikidataProjectchatArchive201210.json
 Good and featured articles ,Jeblad,WikidataProjectchatArchive201210.json
 Warum kann... ,Liesel,WikidataProjectchatArchive201210.json
 Warum kann... ,Lydia Pintscher (WMDE),WikidataProjectchatArchive201210.json
" Purpose of ""description"" field. ",Yair rand,WikidataProjectchatArchive201210.json
" Purpose of ""description"" field. ",Lydia Pintscher (WMDE),WikidataProjectchatArchive201210.json
" Purpose of ""description"" field. ",Guerillero,WikidataProjectchatArchive201210.json
 Description length ,MichaelSchoenitzer,WikidataProjectchatArchive201210.json
 Description length ,Jeblad,WikidataProjectchatArchive201210.json
 Description length ,Soulkeeper,WikidataProjectchatArchive201210.json
 Description length ,Yair rand,WikidataProjectchatArchive201210.json
 [[Wikidata:Countries Task Force]] ,Ymblanter,WikidataProjectchatArchive201210.json
 Template:Documentation ,Pigsonthewing,WikidataProjectchatArchive201210.json
 Template:Documentation ,Yair rand,WikidataProjectchatArchive201210.json
 Template:Documentation ,MF-Warburg,WikidataProjectchatArchive201210.json
 You are the community ,Jeblad,WikidataProjectchatArchive201210.json
 status of search ,Lydia Pintscher (WMDE),WikidataProjectchatArchive201210.json
 Some languages to long: zh-classical and map-bms ,Basvb,WikidataProjectchatArchive201210.json
 Some languages to long: zh-classical and map-bms ,Ltrlg,WikidataProjectchatArchive201210.json
 [[Wikidata_talk:RFC/Inclusion_of_not-article pages|RFC about the inclusion in Wikidata of not-article pages]] ,Tpt,WikidataProjectchatArchive201210.json
 Add Categories or Groups on WD ,Jitrixis,WikidataProjectchatArchive201210.json
 Add Categories or Groups on WD ,Dharmadhyaksha,WikidataProjectchatArchive201210.json
 Breaking changes in the API ,Jeblad,WikidataProjectchatArchive201210.json
 Breaking changes in the API ,Tpt,WikidataProjectchatArchive201210.json
 Breaking changes in the API ,Ymblanter,WikidataProjectchatArchive201210.json
 Why is the Label separately editable? ,Wittylama,WikidataProjectchatArchive201210.json
 Why is the Label separately editable? ,Ymblanter,WikidataProjectchatArchive201210.json
 Why is the Label separately editable? ,Snaevar,WikidataProjectchatArchive201210.json
 Template imports ,Pigsonthewing,WikidataProjectchatArchive201210.json
 Template imports ,MF-Warburg,WikidataProjectchatArchive201210.json
 Template imports ,Romaine,WikidataProjectchatArchive201210.json
 Linking to sister projects ,Pigsonthewing,WikidataProjectchatArchive201210.json
 Linking to sister projects ,Stryn,WikidataProjectchatArchive201210.json
 Linking to sister projects ,Jeblad,WikidataProjectchatArchive201210.json
 Linking to sister projects ,Arkanosis,WikidataProjectchatArchive201210.json
 Easy link to this page ,Pigsonthewing,WikidataProjectchatArchive201210.json
 Easy link to this page ,MF-Warburg,WikidataProjectchatArchive201210.json
 Hamburg-prefix ,Stryn,WikidataProjectchatArchive201210.json
