thread_subject,username,page_name
 How to distinguish federal-level powers ,Arctic.gnome,PropertytalkP1001.json
 RFC ,Circeus,PropertytalkP1001.json
 RFC ,Jane023,PropertytalkP1001.json
 Use for public offices ,Jura1,PropertytalkP1001.json
 Use for non-public offices ,Arctic.gnome,PropertytalkP1001.json
 Use for non-public offices ,billinghurst,PropertytalkP1001.json
 Use for non-public offices ,Jura1,PropertytalkP1001.json
 Use for non-public offices ,UWashPrincipalCataloger,PropertytalkP1001.json
 Can't use countries with this property ,Wostr,PropertytalkP1001.json
 What shall we use if the something is true world wide? ,Jarekt,PropertytalkP1001.json
 This property for {{Q|473972}} ,GPSLeo,PropertytalkP1001.json
 Use of P1001 for datasets ,PAC2,PropertytalkP1001.json
 Please add Q78839839 as a possible thing being applied ,MF-Warburg,PropertytalkP1001.json
 Official and non official ,Salgo60,PropertytalkP10027.json
 Official and non official ,Jura1,PropertytalkP10027.json
 Official and non official ,Rdrg109,PropertytalkP10027.json
 Official and non official ,TiagoLubiana,PropertytalkP10027.json
 Official and non official ,Ainali,PropertytalkP10027.json
" <font id=""constraintsNLR"" ></font>Property constraint NLR (Romania) identifier (draft) ",Gangleri,PropertytalkP1003.json
" <font id=""constraintsNLR"" ></font>Property constraint NLR (Romania) identifier (draft) ",Kolja21,PropertytalkP1003.json
" <font id=""constraintsNLR"" ></font>Property constraint NLR (Romania) identifier (draft) ",לערי ריינהארט,PropertytalkP1003.json
" <font id=""constraintsNLR"" ></font>Property constraint NLR (Romania) identifier (draft) ",I18n,PropertytalkP1003.json
" <span id=""identifyingNLRvalues></span>identifying NLR identifiers via search ",לערי ריינהארט,PropertytalkP1003.json
" <span id=""identifyingNLRvalues></span>identifying NLR identifiers via search ",Kolja21,PropertytalkP1003.json
" <font id=""blacklistNLR"" ></font> NLR  000000000 ",לערי ריינהארט,PropertytalkP1003.json
 Conflation with National Library of Russia ,50.53.21.2,PropertytalkP1003.json
" Error in ""Vladimir Bukovsky (Q360471)"" ",DocWatson42,PropertytalkP1003.json
 Discussion ,Mineo,PropertytalkP1004.json
 Discussion ,Danrok,PropertytalkP1004.json
 Discussion ,Shisma,PropertytalkP1004.json
 Discussion ,Freso,PropertytalkP1004.json
 Discussion ,JonnyJD,PropertytalkP1004.json
 Discussion ,Legoktm,PropertytalkP1004.json
 Labels ,JonnyJD,PropertytalkP1004.json
" <font id=""constraintsNTA""></font>Property constraint PTBNP identifier (draft) ",לערי ריינהארט,PropertytalkP1005.json
" <font id=""constraintsNTA""></font>Property constraint PTBNP identifier (draft) ",Kolja21,PropertytalkP1005.json
" <font id=""constraintsNTA""></font>Property constraint PTBNP identifier (draft) ",DarwIn,PropertytalkP1005.json
 Linked site down ,SamB,PropertytalkP1005.json
 Linked site down ,Kolja21,PropertytalkP1005.json
 Linked site down ,50.53.1.33,PropertytalkP1005.json
 Недоступен  идентификатор ,MasterRus21thCentury,PropertytalkP10062.json
 Недоступен  идентификатор ,Pamputt,PropertytalkP10062.json
 NTA reference not in autorité modèle ,FERNANDES Gilbert,PropertytalkP1006.json
 Update formatter url ,Multichill,PropertytalkP1006.json
 Update formatter url ,OlafJanssen,PropertytalkP1006.json
 Mismatches ,Multichill,PropertytalkP1006.json
 For persons only ,OlafJanssen,PropertytalkP1006.json
 Query ,Epìdosis,PropertytalkP10071.json
" Both examples have ""potential issues"" ",Trilotat,PropertytalkP1007.json
 Why not persons? ,Vladimir Alexiev,PropertytalkP10083.json
 Why not persons? ,SilentSpike,PropertytalkP10083.json
 Why not persons? ,RShigapov,PropertytalkP10083.json
 Automated import ,Dexxor,PropertytalkP10096.json
 {{P|461}} ,AVRS,PropertytalkP1013.json
 Proposal to resolve ambiguous use with {{P|360}} ,Swpb,PropertytalkP1013.json
