thread_subject,username,page_name
 {{PfD|Property:P1549}} ,Jc86035,WikidataPropertiesfordeletion.json
 {{PfD|Property:P1549}} ,Jura1,WikidataPropertiesfordeletion.json
 {{PfD|Property:P1549}} ,Máté,WikidataPropertiesfordeletion.json
 {{PfD|Property:P1549}} ,Autom,WikidataPropertiesfordeletion.json
 {{PfD|Property:P1549}} ,Nikki,WikidataPropertiesfordeletion.json
 {{PfD|Property:P1549}} ,Sextvå.tvånoll.ettsjunoll.sjufyra,WikidataPropertiesfordeletion.json
 {{PfD|Property:P1549}} ,VIGNERON,WikidataPropertiesfordeletion.json
 {{PfD|Property:P1549}} ,Micru,WikidataPropertiesfordeletion.json
 {{PfD|Property:P1549}} ,Jheald,WikidataPropertiesfordeletion.json
 {{PfD|Property:P1549}} ,Deryck Chan,WikidataPropertiesfordeletion.json
 {{PfD|Property:P1549}} ,Liuxinyu970226,WikidataPropertiesfordeletion.json
 {{PfD|Property:P1549}} ,Amadalvarez,WikidataPropertiesfordeletion.json
 {{PfD|Property:P1549}} ,Vriullop,WikidataPropertiesfordeletion.json
 {{PfD|Property:P1549}} ,Manu1400,WikidataPropertiesfordeletion.json
 {{PfD|Property:P1549}} ,HarryNº2,WikidataPropertiesfordeletion.json
 {{PfD|Property:P1549}} ,Obsuser,WikidataPropertiesfordeletion.json
 {{PfD|Property:P1549}} ,Eihel,WikidataPropertiesfordeletion.json
 {{PfD|Property:P1549}} ,2409:8902:9001:6CE0:781B:941D:E99A:2367,WikidataPropertiesfordeletion.json
 {{PfD|Property:P1549}} ,Michael FV,WikidataPropertiesfordeletion.json
 {{PfD|Property:P1549}} ,117.136.54.109,WikidataPropertiesfordeletion.json
 {{PfD|Property:P1549}} ,Palotabarát,WikidataPropertiesfordeletion.json
 {{PfD|Property:P1549}} ,CamelCaseNick,WikidataPropertiesfordeletion.json
 {{PfD|Property:P1549}} ,Bouzinac,WikidataPropertiesfordeletion.json
 {{PfD|Property:P1549}} ,111.32.68.231,WikidataPropertiesfordeletion.json
 {{PfD|Property:P1549}} ,ChristianKl,WikidataPropertiesfordeletion.json
 {{PfD|Property:P1549}} ,Cquoi,WikidataPropertiesfordeletion.json
 {{PfD|Property:P1549}} ,FoeNyx,WikidataPropertiesfordeletion.json
