thread_subject,username,page_name
 User contributions showing Q## ,Yair rand,WikidataContactthedevelopmentteamArchive201210.json
 User contributions showing Q## ,Lydia Pintscher (WMDE),WikidataContactthedevelopmentteamArchive201210.json
 User contributions showing Q## ,Humanzz,WikidataContactthedevelopmentteamArchive201210.json
 User contributions showing Q## ,Ironholds,WikidataContactthedevelopmentteamArchive201210.json
" ""Add"" bug ",Ironholds,WikidataContactthedevelopmentteamArchive201210.json
" ""Add"" bug ",Wittylama,WikidataContactthedevelopmentteamArchive201210.json
" ""Add"" bug ",Denny,WikidataContactthedevelopmentteamArchive201210.json
" ""Add"" bug ",Wizardist,WikidataContactthedevelopmentteamArchive201210.json
 Initial Language ,Wittylama,WikidataContactthedevelopmentteamArchive201210.json
 Initial Language ,Denny,WikidataContactthedevelopmentteamArchive201210.json
 Initial Language ,90.176.233.122,WikidataContactthedevelopmentteamArchive201210.json
 Why adding these interwiki's manually ,Michiel1972,WikidataContactthedevelopmentteamArchive201210.json
 Why adding these interwiki's manually ,PiRSquared17,WikidataContactthedevelopmentteamArchive201210.json
 Duplicate entry management ,Vituzzu,WikidataContactthedevelopmentteamArchive201210.json
 Duplicate entry management ,Lydia Pintscher (WMDE),WikidataContactthedevelopmentteamArchive201210.json
 404 Not Found error ,PiRSquared17,WikidataContactthedevelopmentteamArchive201210.json
 404 Not Found error ,Hydriz,WikidataContactthedevelopmentteamArchive201210.json
 404 Not Found error ,Yerpo,WikidataContactthedevelopmentteamArchive201210.json
 404 Not Found error ,Lydia Pintscher (WMDE),WikidataContactthedevelopmentteamArchive201210.json
 404 Not Found error ,JAn Dudík,WikidataContactthedevelopmentteamArchive201210.json
 Accent alias ,PiRSquared17,WikidataContactthedevelopmentteamArchive201210.json
 Accent alias ,Lydia Pintscher (WMDE),WikidataContactthedevelopmentteamArchive201210.json
 Search ,109.48.72.41,WikidataContactthedevelopmentteamArchive201210.json
 Search ,Lydia Pintscher (WMDE),WikidataContactthedevelopmentteamArchive201210.json
 How to prevent double entries? ,109.48.72.41,WikidataContactthedevelopmentteamArchive201210.json
 How to prevent double entries? ,Lydia Pintscher (WMDE),WikidataContactthedevelopmentteamArchive201210.json
 wiki syntax in descriptions ,MF-Warburg,WikidataContactthedevelopmentteamArchive201210.json
 wiki syntax in descriptions ,Lydia Pintscher (WMDE),WikidataContactthedevelopmentteamArchive201210.json
 How the system gets feedback on deleted pages ,109.48.72.41,WikidataContactthedevelopmentteamArchive201210.json
 How the system gets feedback on deleted pages ,Lydia Pintscher (WMDE),WikidataContactthedevelopmentteamArchive201210.json
 Translate extension ,MF-Warburg,WikidataContactthedevelopmentteamArchive201210.json
 Translate extension ,Lydia Pintscher (WMDE),WikidataContactthedevelopmentteamArchive201210.json
 Tables ,Saint Johann,WikidataContactthedevelopmentteamArchive201210.json
 Tables ,Lydia Pintscher (WMDE),WikidataContactthedevelopmentteamArchive201210.json
 Um was handelt es sich überhaupt? ,Pilettes,WikidataContactthedevelopmentteamArchive201210.json
 Um was handelt es sich überhaupt? ,Lydia Pintscher (WMDE),WikidataContactthedevelopmentteamArchive201210.json
 Search gives many dublicate items ,Svebert,WikidataContactthedevelopmentteamArchive201210.json
 Search gives many dublicate items ,Lydia Pintscher (WMDE),WikidataContactthedevelopmentteamArchive201210.json
 Search gives many dublicate items ,Ijon,WikidataContactthedevelopmentteamArchive201210.json
 Arabic language is right-adjusted instead of left-adjusted in tables ,Svebert,WikidataContactthedevelopmentteamArchive201210.json
 Arabic language is right-adjusted instead of left-adjusted in tables ,Lydia Pintscher (WMDE),WikidataContactthedevelopmentteamArchive201210.json
 Arabic language is right-adjusted instead of left-adjusted in tables ,Ltrlg,WikidataContactthedevelopmentteamArchive201210.json
 Special pages ,Lydia Pintscher (WMDE),WikidataContactthedevelopmentteamArchive201210.json
 Special pages ,"This, that and the other",WikidataContactthedevelopmentteamArchive201210.json
 Code field too small ,Romaine,WikidataContactthedevelopmentteamArchive201210.json
 Code field too small ,Lydia Pintscher (WMDE),WikidataContactthedevelopmentteamArchive201210.json
 el and da language codes not being entered ,Hazard-SJ,WikidataContactthedevelopmentteamArchive201210.json
 el and da language codes not being entered ,Lydia Pintscher (WMDE),WikidataContactthedevelopmentteamArchive201210.json
 Commons-Links ,109.48.72.41,WikidataContactthedevelopmentteamArchive201210.json
 Commons-Links ,Stryn,WikidataContactthedevelopmentteamArchive201210.json
 User contributions ,109.48.72.41,WikidataContactthedevelopmentteamArchive201210.json
 User contributions ,Lydia Pintscher (WMDE),WikidataContactthedevelopmentteamArchive201210.json
 User contributions ,Jeblad,WikidataContactthedevelopmentteamArchive201210.json
