thread_subject,username,page_name
19830101dateofbirthvs19880000dateofbirthbothonlyhaveayearspecified,Tidoni,WikidataRequestsforcomment19830101dateofbirthvs19880000dateofbirthbothonlyhaveayearspecified.json
19830101dateofbirthvs19880000dateofbirthbothonlyhaveayearspecified,Matěj Suchánek,WikidataRequestsforcomment19830101dateofbirthvs19880000dateofbirthbothonlyhaveayearspecified.json
Abusefilterviewprivateandabusefilterlogprivateforrollbackers,John F. Lewis,WikidataRequestsforcommentAbusefilterviewprivateandabusefilterlogprivateforrollbackers.json
Abusefilterviewprivateandabusefilterlogprivateforrollbackers,FrigidNinja,WikidataRequestsforcommentAbusefilterviewprivateandabusefilterlogprivateforrollbackers.json
Abusefilterviewprivateandabusefilterlogprivateforrollbackers,Hazard-SJ,WikidataRequestsforcommentAbusefilterviewprivateandabusefilterlogprivateforrollbackers.json
Abusefilterviewprivateandabusefilterlogprivateforrollbackers,TCN7JM,WikidataRequestsforcommentAbusefilterviewprivateandabusefilterlogprivateforrollbackers.json
Abusefilterviewprivateandabusefilterlogprivateforrollbackers,Iste Praetor,WikidataRequestsforcommentAbusefilterviewprivateandabusefilterlogprivateforrollbackers.json
Abusefilterviewprivateandabusefilterlogprivateforrollbackers,Vogone,WikidataRequestsforcommentAbusefilterviewprivateandabusefilterlogprivateforrollbackers.json
Abusefilterviewprivateandabusefilterlogprivateforrollbackers,Courcelles,WikidataRequestsforcommentAbusefilterviewprivateandabusefilterlogprivateforrollbackers.json
Abusefilterviewprivateandabusefilterlogprivateforrollbackers,Hahc21,WikidataRequestsforcommentAbusefilterviewprivateandabusefilterlogprivateforrollbackers.json
Abusefilterviewprivateandabusefilterlogprivateforrollbackers,odder,WikidataRequestsforcommentAbusefilterviewprivateandabusefilterlogprivateforrollbackers.json
Addabankroutingnumberproperty,Ferdinand0101,WikidataRequestsforcommentAddabankroutingnumberproperty.json
Addabankroutingnumberproperty,Visite fortuitement prolongée,WikidataRequestsforcommentAddabankroutingnumberproperty.json
Addingshortcodeforcryptocurrencies,ArthurPSmith,WikidataRequestsforcommentAddingshortcodeforcryptocurrencies.json
Addingshortcodeforcryptocurrencies,Laboramus,WikidataRequestsforcommentAddingshortcodeforcryptocurrencies.json
Addingshortcodeforcryptocurrencies,Germartin1,WikidataRequestsforcommentAddingshortcodeforcryptocurrencies.json
Addingshortcodeforcryptocurrencies,Jc86035,WikidataRequestsforcommentAddingshortcodeforcryptocurrencies.json
AddlinkstootherWikimediaprojects,Legoktm,WikidataRequestsforcommentAddlinkstootherWikimediaprojects.json
AddlinkstootherWikimediaprojects,HGK745,WikidataRequestsforcommentAddlinkstootherWikimediaprojects.json
AddlinkstootherWikimediaprojects,NaBUru38,WikidataRequestsforcommentAddlinkstootherWikimediaprojects.json
AddlinkstootherWikimediaprojects,Carsrac,WikidataRequestsforcommentAddlinkstootherWikimediaprojects.json
AddlinkstootherWikimediaprojects,QuiteUnusual,WikidataRequestsforcommentAddlinkstootherWikimediaprojects.json
Administativedivisionsandpopulatedplaces,John F. Lewis,WikidataRequestsforcommentAdministativedivisionsandpopulatedplaces.json
Administativedivisionsandpopulatedplaces,Rippitippi,WikidataRequestsforcommentAdministativedivisionsandpopulatedplaces.json
Administativedivisionsandpopulatedplaces,Filceolaire,WikidataRequestsforcommentAdministativedivisionsandpopulatedplaces.json
Administativedivisionsandpopulatedplaces,Michiel1972,WikidataRequestsforcommentAdministativedivisionsandpopulatedplaces.json
Administativedivisionsandpopulatedplaces,Lavallen,WikidataRequestsforcommentAdministativedivisionsandpopulatedplaces.json
Administativedivisionsandpopulatedplaces,Casper Tinan,WikidataRequestsforcommentAdministativedivisionsandpopulatedplaces.json
Administativedivisionsandpopulatedplaces,FelixReimann,WikidataRequestsforcommentAdministativedivisionsandpopulatedplaces.json
Administativedivisionsandpopulatedplaces,Jillesvangurp,WikidataRequestsforcommentAdministativedivisionsandpopulatedplaces.json
Administativedivisionsandpopulatedplaces,88.14.100.137,WikidataRequestsforcommentAdministativedivisionsandpopulatedplaces.json
Adoptausernamepolicy,Jasper Deng,WikidataRequestsforcommentAdoptausernamepolicy.json
Adoptausernamepolicy,Zazpot,WikidataRequestsforcommentAdoptausernamepolicy.json
Adoptausernamepolicy,Yair rand,WikidataRequestsforcommentAdoptausernamepolicy.json
Adoptausernamepolicy,Sannita,WikidataRequestsforcommentAdoptausernamepolicy.json
Adoptausernamepolicy,Sjoerddebruin,WikidataRequestsforcommentAdoptausernamepolicy.json
Adoptausernamepolicy,Jc86035,WikidataRequestsforcommentAdoptausernamepolicy.json
Adoptausernamepolicy,Nikki,WikidataRequestsforcommentAdoptausernamepolicy.json
Adoptausernamepolicy,ChristianKl,WikidataRequestsforcommentAdoptausernamepolicy.json
Adoptausernamepolicy,Deryck Chan,WikidataRequestsforcommentAdoptausernamepolicy.json
Adoptausernamepolicy,Wostr,WikidataRequestsforcommentAdoptausernamepolicy.json
Adoptausernamepolicy,Vogone,WikidataRequestsforcommentAdoptausernamepolicy.json
Adoptausernamepolicy,Ajraddatz,WikidataRequestsforcommentAdoptausernamepolicy.json
Adoptausernamepolicy,Lazypub,WikidataRequestsforcommentAdoptausernamepolicy.json
Adoptausernamepolicy,Addshore,WikidataRequestsforcommentAdoptausernamepolicy.json
Adoptausernamepolicy,Gamaliel,WikidataRequestsforcommentAdoptausernamepolicy.json
Adoptausernamepolicy,Tetizeraz,WikidataRequestsforcommentAdoptausernamepolicy.json
Adoptausernamepolicy,Rschen7754,WikidataRequestsforcommentAdoptausernamepolicy.json
Adoptausernamepolicy,Jianhui67,WikidataRequestsforcommentAdoptausernamepolicy.json
Adoptausernamepolicy,Taketa,WikidataRequestsforcommentAdoptausernamepolicy.json
Adoptausernamepolicy,Liuxinyu970226,WikidataRequestsforcommentAdoptausernamepolicy.json
Adoptausernamepolicy,1997kB,WikidataRequestsforcommentAdoptausernamepolicy.json
Adoptausernamepolicy,Anonymous_username_597,WikidataRequestsforcommentAdoptausernamepolicy.json
Adoptausernamepolicy,Donald Trung,WikidataRequestsforcommentAdoptausernamepolicy.json
Adoptausernamepolicy,ArthurPSmith,WikidataRequestsforcommentAdoptausernamepolicy.json
AdoptHelpClassificationasanofficialhelppage,Pasleim,WikidataRequestsforcommentAdoptHelpClassificationasanofficialhelppage.json
AdoptHelpClassificationasanofficialhelppage,Izno,WikidataRequestsforcommentAdoptHelpClassificationasanofficialhelppage.json
AdoptHelpClassificationasanofficialhelppage,Bene*,WikidataRequestsforcommentAdoptHelpClassificationasanofficialhelppage.json
AdoptHelpClassificationasanofficialhelppage,TomT0m,WikidataRequestsforcommentAdoptHelpClassificationasanofficialhelppage.json
AdoptHelpClassificationasanofficialhelppage,Snipre,WikidataRequestsforcommentAdoptHelpClassificationasanofficialhelppage.json
AdoptHelpClassificationasanofficialhelppage,Visite fortuitement prolongée,WikidataRequestsforcommentAdoptHelpClassificationasanofficialhelppage.json
AdoptHelpClassificationasanofficialhelppage,Laboramus,WikidataRequestsforcommentAdoptHelpClassificationasanofficialhelppage.json
AdoptHelpClassificationasanofficialhelppage,Emw,WikidataRequestsforcommentAdoptHelpClassificationasanofficialhelppage.json
AdoptHelpClassificationasanofficialhelppage,Peter F. Patel-Schneider,WikidataRequestsforcommentAdoptHelpClassificationasanofficialhelppage.json
AdoptHelpClassificationasanofficialhelppage,Succu,WikidataRequestsforcommentAdoptHelpClassificationasanofficialhelppage.json
AdoptHelpClassificationasanofficialhelppage,Haplology,WikidataRequestsforcommentAdoptHelpClassificationasanofficialhelppage.json
AdoptHelpClassificationasanofficialhelppage,Smalyshev (WMF),WikidataRequestsforcommentAdoptHelpClassificationasanofficialhelppage.json
AdoptHelpClassificationasanofficialhelppage,FreightXPress,WikidataRequestsforcommentAdoptHelpClassificationasanofficialhelppage.json
AdoptHelpClassificationasanofficialhelppage,Jura1,WikidataRequestsforcommentAdoptHelpClassificationasanofficialhelppage.json
AdoptHelpSitelinksToRedirectsaspolicy,ChristianKl,WikidataRequestsforcommentAdoptHelpSitelinksToRedirectsaspolicy.json
AdoptHelpSitelinksToRedirectsaspolicy,Matthias Winkelmann,WikidataRequestsforcommentAdoptHelpSitelinksToRedirectsaspolicy.json
