thread_subject,username,page_name
 [[Wikidata:Requests for permissions/Administrator/1997kB|1997kB]] ,1997kB,WikidataRequestsforpermissionsAdministrator1997kB.json
{{Votes header}},Wolverène,WikidataRequestsforpermissionsAdministrator1997kB.json
{{Votes header}},Eihel,WikidataRequestsforpermissionsAdministrator1997kB.json
{{Votes header}},Jianhui67,WikidataRequestsforpermissionsAdministrator1997kB.json
{{Votes header}},CptViraj,WikidataRequestsforpermissionsAdministrator1997kB.json
{{Votes header}},BRPever,WikidataRequestsforpermissionsAdministrator1997kB.json
{{Votes header}},StevenJ81,WikidataRequestsforpermissionsAdministrator1997kB.json
{{Votes header}},HakanIST,WikidataRequestsforpermissionsAdministrator1997kB.json
{{Votes header}},Epìdosis,WikidataRequestsforpermissionsAdministrator1997kB.json
{{Votes header}},Hiàn,WikidataRequestsforpermissionsAdministrator1997kB.json
{{Votes header}},Stanglavine,WikidataRequestsforpermissionsAdministrator1997kB.json
{{Votes header}},NewDataB,WikidataRequestsforpermissionsAdministrator1997kB.json
{{Votes header}},Cuatro Remos,WikidataRequestsforpermissionsAdministrator1997kB.json
{{Votes header}},Premeditated,WikidataRequestsforpermissionsAdministrator1997kB.json
{{Votes header}},Rschen7754,WikidataRequestsforpermissionsAdministrator1997kB.json
{{Votes header}},Dimon2711,WikidataRequestsforpermissionsAdministrator1997kB.json
{{Votes header}},Jura1,WikidataRequestsforpermissionsAdministrator1997kB.json
{{Votes header}},Jasper Deng,WikidataRequestsforpermissionsAdministrator1997kB.json
{{Votes header}},DannyS712,WikidataRequestsforpermissionsAdministrator1997kB.json
{{Votes header}},علاء,WikidataRequestsforpermissionsAdministrator1997kB.json
{{Votes header}},Rzuwig,WikidataRequestsforpermissionsAdministrator1997kB.json
 Comments ,Eihel,WikidataRequestsforpermissionsAdministrator1997kB.json
 Comments ,1997kB,WikidataRequestsforpermissionsAdministrator1997kB.json
 Comments ,Vermont,WikidataRequestsforpermissionsAdministrator1997kB.json
Thanks,1997kB,WikidataRequestsforpermissionsAdministrator1997kB.json
No subject,Bene*,WikidataRequestsforpermissionsAdministrator555.json
 [[Wikidata:Requests for permissions/Administrator/555|555]] ,555,WikidataRequestsforpermissionsAdministrator555.json
{{Votes header}},AmaryllisGardener,WikidataRequestsforpermissionsAdministrator555.json
{{Votes header}},Jianhui67,WikidataRequestsforpermissionsAdministrator555.json
{{Votes header}},GZWDer,WikidataRequestsforpermissionsAdministrator555.json
{{Votes header}},Rzuwig,WikidataRequestsforpermissionsAdministrator555.json
{{Votes header}},분당선M,WikidataRequestsforpermissionsAdministrator555.json
{{Votes header}},Ralgis,WikidataRequestsforpermissionsAdministrator555.json
{{Votes header}},Mathieudu68,WikidataRequestsforpermissionsAdministrator555.json
{{Votes header}},Taketa,WikidataRequestsforpermissionsAdministrator555.json
{{Votes header}},Lymantria,WikidataRequestsforpermissionsAdministrator555.json
{{Votes header}},Delusion23,WikidataRequestsforpermissionsAdministrator555.json
{{Votes header}},Matěj Suchánek,WikidataRequestsforpermissionsAdministrator555.json
{{Votes header}},Ajraddatz,WikidataRequestsforpermissionsAdministrator555.json
