thread_subject,username,page_name
 Items with specific string in image filename ,Matěj Suchánek,WikidataRequestaqueryArchive201607.json
 Items with specific string in image filename ,Edgars2007,WikidataRequestaqueryArchive201607.json
 Items with specific string in image filename ,Jklamo,WikidataRequestaqueryArchive201607.json
 Most missing label in a language ,Tobias1984,WikidataRequestaqueryArchive201608.json
 Most missing label in a language ,Edgars2007,WikidataRequestaqueryArchive201608.json
" Living researchers with no ORCID, by institute ",Pigsonthewing,WikidataRequestaqueryArchive201608.json
" Living researchers with no ORCID, by institute ",Edgars2007,WikidataRequestaqueryArchive201608.json
" Living researchers with no ORCID, by institute ",Matěj Suchánek,WikidataRequestaqueryArchive201608.json
 Olympic gold metals from my city ,Infovarius,WikidataRequestaqueryArchive201608.json
 Olympic gold metals from my city ,Pasleim,WikidataRequestaqueryArchive201608.json
 items with Austrian cultural heritage ID located in an administrative territorial entity different from an Austrian municipality ,UV,WikidataRequestaqueryArchive201608.json
 items with Austrian cultural heritage ID located in an administrative territorial entity different from an Austrian municipality ,Pasleim,WikidataRequestaqueryArchive201608.json
 items with Austrian cultural heritage ID located in an administrative territorial entity different from an Austrian municipality ,Tobias1984,WikidataRequestaqueryArchive201608.json
 Countries that have never won a medal at the Olympics ,Pigsonthewing,WikidataRequestaqueryArchive201608.json
 Countries that have never won a medal at the Olympics ,Matěj Suchánek,WikidataRequestaqueryArchive201608.json
 Countries that have never won a medal at the Olympics ,Edgars2007,WikidataRequestaqueryArchive201608.json
 Find a public company ,Alphos,WikidataRequestaqueryArchive201608.json
 +-1 ,Edgars2007,WikidataRequestaqueryArchive201608.json
 +-1 ,Matěj Suchánek,WikidataRequestaqueryArchive201608.json
 Duplicate values of property ,Edgars2007,WikidataRequestaqueryArchive201608.json
 Duplicate values of property ,Jura1,WikidataRequestaqueryArchive201608.json
 Women elected to the UK parliament ,Pigsonthewing,WikidataRequestaqueryArchive201608.json
 Women elected to the UK parliament ,Matěj Suchánek,WikidataRequestaqueryArchive201608.json
 Statues of women ,Pigsonthewing,WikidataRequestaqueryArchive201608.json
 Universities that existed in Berlin in 1890 ,Jura1,WikidataRequestaqueryArchive201608.json
 Universities that existed in Berlin in 1890 ,Matěj Suchánek,WikidataRequestaqueryArchive201608.json
 Universities that existed in Berlin in 1890 ,ChristianKl,WikidataRequestaqueryArchive201608.json
 Meta: learning to write a simple query ,Pigsonthewing,WikidataRequestaqueryArchive201608.json
 Meta: learning to write a simple query ,Matěj Suchánek,WikidataRequestaqueryArchive201608.json
 Meta: learning to write a simple query ,Edgars2007,WikidataRequestaqueryArchive201608.json
 Meta: learning to write a simple query ,Spinster,WikidataRequestaqueryArchive201608.json
 Greek mythological characters ,Epìdosis,WikidataRequestaqueryArchive201608.json
 Greek mythological characters ,Edgars2007,WikidataRequestaqueryArchive201608.json
 Greek mythological characters ,Matěj Suchánek,WikidataRequestaqueryArchive201608.json
 Pairs of IDs ,Pigsonthewing,WikidataRequestaqueryArchive201608.json
 Pairs of IDs ,Matěj Suchánek,WikidataRequestaqueryArchive201608.json
 Amsterdam-based publishers ,Spinster,WikidataRequestaqueryArchive201608.json
 Amsterdam-based publishers ,Pasleim,WikidataRequestaqueryArchive201608.json
 Italian cities above {{Q|546}} ,Airon90,WikidataRequestaqueryArchive201608.json
 Italian cities above {{Q|546}} ,Jura1,WikidataRequestaqueryArchive201608.json
 Italian cities above {{Q|546}} ,Matěj Suchánek,WikidataRequestaqueryArchive201608.json
 Author strings on scientific papers that equal the description or aliases of other items ,Daniel Mietchen,WikidataRequestaqueryArchive201608.json
 Author strings on scientific papers that equal the description or aliases of other items ,Pasleim,WikidataRequestaqueryArchive201608.json
 Author strings on scientific papers that equal the description or aliases of other items ,Jura1,WikidataRequestaqueryArchive201608.json
 Images by specific User ,Jklamo,WikidataRequestaqueryArchive201608.json
 Images by specific User ,Edgars2007,WikidataRequestaqueryArchive201608.json
 Images by specific User ,Pasleim,WikidataRequestaqueryArchive201608.json
 Articles ,Tobias1984,WikidataRequestaqueryArchive201608.json
 Articles ,Edgars2007,WikidataRequestaqueryArchive201608.json
 Articles ,Jura1,WikidataRequestaqueryArchive201608.json
 Coordinate check for French historical monument ,VIGNERON,WikidataRequestaqueryArchive201608.json
 Coordinate check for French historical monument ,Matěj Suchánek,WikidataRequestaqueryArchive201608.json
 Comparison between coverage of Global North content and African content ,Islahaddow,WikidataRequestaqueryArchive201609.json
 Comparison between coverage of Global North content and African content ,Andrew Gray,WikidataRequestaqueryArchive201609.json
 Comparison between coverage of Global North content and African content ,Jura1,WikidataRequestaqueryArchive201609.json
 Comparison between coverage of Global North content and African content ,Infovarius,WikidataRequestaqueryArchive201609.json
 Constraint:Contemporary ,Abián,WikidataRequestaqueryArchive201609.json
 Constraint:Contemporary ,Jura1,WikidataRequestaqueryArchive201609.json
 Top 50 'recent' female visual artists with many sitelinks but no sitelink on nlwiki yet ,Spinster,WikidataRequestaqueryArchive201609.json
 Top 50 'recent' female visual artists with many sitelinks but no sitelink on nlwiki yet ,Jura1,WikidataRequestaqueryArchive201609.json
 Top 50 'recent' female visual artists with many sitelinks but no sitelink on nlwiki yet ,ValterVB,WikidataRequestaqueryArchive201609.json
 Museums on Instagram ,Pigsonthewing,WikidataRequestaqueryArchive201609.json
 Museums on Instagram ,Pasleim,WikidataRequestaqueryArchive201609.json
 Museums on Instagram ,Edgars2007,WikidataRequestaqueryArchive201609.json
 Museums on Instagram ,Alphos,WikidataRequestaqueryArchive201609.json
 Website account on... ,Pigsonthewing,WikidataRequestaqueryArchive201609.json
 Coordinates in a range ,Andrew Gray,WikidataRequestaqueryArchive201609.json
 Coordinates in a range ,Pasleim,WikidataRequestaqueryArchive201609.json
 Coordinates in a range ,Xmlizer,WikidataRequestaqueryArchive201609.json
 Total number of featured articles ,Kaldari,WikidataRequestaqueryArchive201609.json
 Total number of featured articles ,Pasleim,WikidataRequestaqueryArchive201609.json
 Total number of featured articles ,Edgars2007,WikidataRequestaqueryArchive201609.json
 Count that groups subclasses of certain items ,Tobias1984,WikidataRequestaqueryArchive201609.json
 Count that groups subclasses of certain items ,Pasleim,WikidataRequestaqueryArchive201609.json
 Count that groups subclasses of certain items ,Matěj Suchánek,WikidataRequestaqueryArchive201609.json
 Non-Japanese people who have {{P|P1814}} ,Thibaut120094,WikidataRequestaqueryArchive201609.json
 Non-Japanese people who have {{P|P1814}} ,Matěj Suchánek,WikidataRequestaqueryArchive201609.json
 Non-Japanese people who have {{P|P1814}} ,Jura1,WikidataRequestaqueryArchive201609.json
 Properties mapped to the vCard ontology ,Pigsonthewing,WikidataRequestaqueryArchive201609.json
 Properties mapped to the vCard ontology ,Matěj Suchánek,WikidataRequestaqueryArchive201609.json
 People from specific territory and time ,Jklamo,WikidataRequestaqueryArchive201609.json
 People from specific territory and time ,Matěj Suchánek,WikidataRequestaqueryArchive201609.json
 People from specific territory and time ,Edgars2007,WikidataRequestaqueryArchive201609.json
 People from specific territory and time ,Jura1,WikidataRequestaqueryArchive201609.json
 Repeated items ,Paucabot,WikidataRequestaqueryArchive201609.json
 Repeated items ,Matěj Suchánek,WikidataRequestaqueryArchive201609.json
 Repeated items ,Jura1,WikidataRequestaqueryArchive201609.json
 Metrical feet ,Epìdosis,WikidataRequestaqueryArchive201609.json
 Metrical feet ,Edgars2007,WikidataRequestaqueryArchive201609.json
 Metrical feet ,Jura1,WikidataRequestaqueryArchive201609.json
 Metrical feet ,Matěj Suchánek,WikidataRequestaqueryArchive201609.json
 Pantheon 2.0 ,Jura1,WikidataRequestaqueryArchive201609.json
 Sitelink count ,Pasleim,WikidataRequestaqueryArchive201610.json
 Sitelink count ,Edgars2007,WikidataRequestaqueryArchive201610.json
 Sitelink count ,Hoo man,WikidataRequestaqueryArchive201610.json
 Sitelink count ,Jura1,WikidataRequestaqueryArchive201610.json
 List all Pokémon moves ,Airon90,WikidataRequestaqueryArchive201610.json
 List all Pokémon moves ,Matěj Suchánek,WikidataRequestaqueryArchive201610.json
 List all Pokémon moves ,TomT0m,WikidataRequestaqueryArchive201610.json
 TV series in a language and in a interval of time ,Airon90,WikidataRequestaqueryArchive201610.json
 TV series in a language and in a interval of time ,Matěj Suchánek,WikidataRequestaqueryArchive201610.json
 TV series in a language and in a interval of time ,TomT0m,WikidataRequestaqueryArchive201610.json
 Archaic Greek lyric fragments ,Epìdosis,WikidataRequestaqueryArchive201610.json
 Archaic Greek lyric fragments ,Jura1,WikidataRequestaqueryArchive201610.json
 Kosovo ,Pigsonthewing,WikidataRequestaqueryArchive201610.json
 Kosovo ,Matěj Suchánek,WikidataRequestaqueryArchive201610.json
 Works by Canova ,Epìdosis,WikidataRequestaqueryArchive201610.json
 Works by Canova ,Edgars2007,WikidataRequestaqueryArchive201610.json
 Works by Canova ,Matěj Suchánek,WikidataRequestaqueryArchive201610.json
 Histogram ,Infovarius,WikidataRequestaqueryArchive201610.json
 Histogram ,Pasleim,WikidataRequestaqueryArchive201610.json
 Histogram ,Edgars2007,WikidataRequestaqueryArchive201610.json
 Histogram ,MisterSynergy,WikidataRequestaqueryArchive201610.json
 Histogram ,Molarus,WikidataRequestaqueryArchive201610.json
 Histogram ,Wesalius,WikidataRequestaqueryArchive201610.json
" All items that have P1440 with qualifier p585 set to ""+2014-04-01T00:00:00Z/10"" and S1440 set to ""P1140"" ",Wesalius,WikidataRequestaqueryArchive201610.json
" All items that have P1440 with qualifier p585 set to ""+2014-04-01T00:00:00Z/10"" and S1440 set to ""P1140"" ",Steak,WikidataRequestaqueryArchive201610.json
" All items that have P1440 with qualifier p585 set to ""+2014-04-01T00:00:00Z/10"" and S1440 set to ""P1140"" ",Pasleim,WikidataRequestaqueryArchive201610.json
" All items that have P1440 with qualifier p585 set to ""+2014-04-01T00:00:00Z/10"" and S1440 set to ""P1140"" ",Edgars2007,WikidataRequestaqueryArchive201610.json
 Count of occupation for women with no en.wikipedia article ,Tagishsimon,WikidataRequestaqueryArchive201610.json
 Count of occupation for women with no en.wikipedia article ,MisterSynergy,WikidataRequestaqueryArchive201610.json
 Count of occupation for women with no en.wikipedia article ,TomT0m,WikidataRequestaqueryArchive201610.json
 Listeria versus Query service problem ,Tagishsimon,WikidataRequestaqueryArchive201610.json
 Listeria versus Query service problem ,MisterSynergy,WikidataRequestaqueryArchive201610.json
 Listeria versus Query service problem ,TomT0m,WikidataRequestaqueryArchive201610.json
 Properties with multiple formatter URLs ,Pigsonthewing,WikidataRequestaqueryArchive201610.json
 Properties with multiple formatter URLs ,Pasleim,WikidataRequestaqueryArchive201610.json
 Properties with multiple formatter URLs ,TomT0m,WikidataRequestaqueryArchive201610.json
 Median-length featured article in specific languages ,Hsivonen,WikidataRequestaqueryArchive201610.json
 Median-length featured article in specific languages ,MisterSynergy,WikidataRequestaqueryArchive201610.json
 Median-length featured article in specific languages ,Jklamo,WikidataRequestaqueryArchive201610.json
" Percentage of genders in ... (an art collection, on a certain language wiki, etc) ",Spinster,WikidataRequestaqueryArchive201610.json
 All Grandmasters with qualifier ,Steak,WikidataRequestaqueryArchive201610.json
 All Grandmasters with qualifier ,TomT0m,WikidataRequestaqueryArchive201610.json
 All Grandmasters with qualifier ,MisterSynergy,WikidataRequestaqueryArchive201610.json
 Biographical reference work ,Jonathan Groß,WikidataRequestaqueryArchive201611.json
 Biographical reference work ,MisterSynergy,WikidataRequestaqueryArchive201611.json
 Bug somewhere? ,Airon90,WikidataRequestaqueryArchive201611.json
 Bug somewhere? ,Matěj Suchánek,WikidataRequestaqueryArchive201611.json
 Biographies for the Asian Month ,Sabbut,WikidataRequestaqueryArchive201611.json
 Biographies for the Asian Month ,Jura1,WikidataRequestaqueryArchive201611.json
 excluding Q-IDs ,H4stings,WikidataRequestaqueryArchive201611.json
 excluding Q-IDs ,Jura1,WikidataRequestaqueryArchive201611.json
 Taxa described first time in year... ,Theklan,WikidataRequestaqueryArchive201611.json
 Taxa described first time in year... ,Pasleim,WikidataRequestaqueryArchive201611.json
 Taxa described first time in year... ,Succu,WikidataRequestaqueryArchive201611.json
 Nuclear power plants ,Micru,WikidataRequestaqueryArchive201611.json
 Nuclear power plants ,Strakhov,WikidataRequestaqueryArchive201611.json
 Articles about females from one category in the English and Arabic Wikipedias ,Reem Al-Kashif,WikidataRequestaqueryArchive201611.json
 Articles about females from one category in the English and Arabic Wikipedias ,MisterSynergy,WikidataRequestaqueryArchive201611.json
 Articles about females from one category in the English and Arabic Wikipedias ,Edgars2007,WikidataRequestaqueryArchive201611.json
 Units conversion ,Jklamo,WikidataRequestaqueryArchive201611.json
 Units conversion ,Jura1,WikidataRequestaqueryArchive201611.json
 help with timing out query ,Jarekt,WikidataRequestaqueryArchive201611.json
 help with timing out query ,Pasleim,WikidataRequestaqueryArchive201611.json
 Pakistan people ,Saqib,WikidataRequestaqueryArchive201611.json
 Pakistan people ,MisterSynergy,WikidataRequestaqueryArchive201611.json
 Cities in Russia on the map ,Azgar,WikidataRequestaqueryArchive201611.json
 Cities in Russia on the map ,MisterSynergy,WikidataRequestaqueryArchive201611.json
 List of Chopin works with catalogue numbers ,Micru,WikidataRequestaqueryArchive201611.json
 List of Chopin works with catalogue numbers ,Matěj Suchánek,WikidataRequestaqueryArchive201611.json
 Search by label on a distinct set (Dutch painters) ,Husky,WikidataRequestaqueryArchive201611.json
 Search by label on a distinct set (Dutch painters) ,Matěj Suchánek,WikidataRequestaqueryArchive201611.json
" Efficient query, based on a string, to find Wikidata pages ",Matěj Suchánek,WikidataRequestaqueryArchive201611.json
" Query to select a type of item (Building) or subtype, located in a city ",Matěj Suchánek,WikidataRequestaqueryArchive201611.json
 Nearest places to a set of query results ,Vojtěch Dostál,WikidataRequestaqueryArchive201611.json
 Nearest places to a set of query results ,Matěj Suchánek,WikidataRequestaqueryArchive201611.json
 Problem with Qualifiers ,McSearch,WikidataRequestaqueryArchive201611.json
 Problem with Qualifiers ,Matěj Suchánek,WikidataRequestaqueryArchive201611.json
 Gender queries (again) ,Jane023,WikidataRequestaqueryArchive201611.json
 People born on november 16th for Listeria ,Theklan,WikidataRequestaqueryArchive201611.json
 People born on november 16th for Listeria ,Matěj Suchánek,WikidataRequestaqueryArchive201611.json
 using substring in order to filter results ,Edoderoo,WikidataRequestaqueryArchive201611.json
 using substring in order to filter results ,Matěj Suchánek,WikidataRequestaqueryArchive201611.json
 Why do some results appear twice? ,Theklan,WikidataRequestaqueryArchive201611.json
 Why do some results appear twice? ,Sjoerddebruin,WikidataRequestaqueryArchive201611.json
 Why do some results appear twice? ,Matěj Suchánek,WikidataRequestaqueryArchive201611.json
 Filter on description ,Edgars2007,WikidataRequestaqueryArchive201611.json
 Filter on description ,Jura1,WikidataRequestaqueryArchive201611.json
 People not born in... ,Theklan,WikidataRequestaqueryArchive201611.json
 People not born in... ,Matěj Suchánek,WikidataRequestaqueryArchive201611.json
 N° of  biographies by year of birth and sex ,ValterVB,WikidataRequestaqueryArchive201611.json
 N° of  biographies by year of birth and sex ,Edgars2007,WikidataRequestaqueryArchive201611.json
 Query for namespaces ,Steak,WikidataRequestaqueryArchive201611.json
 Query for namespaces ,MisterSynergy,WikidataRequestaqueryArchive201611.json
 Query for namespaces ,Edgars2007,WikidataRequestaqueryArchive201611.json
 Query for namespaces ,Pasleim,WikidataRequestaqueryArchive201611.json
 P131 values without P131 set ,Edgars2007,WikidataRequestaqueryArchive201611.json
